,Symbol,Company
1394,GNMK,Genmark Diagnostics
1395,GNOM,Global X Genomics & Biotechnology ETF
1396,GNPX,Genprex Inc
1397,GNRS,Greenrose Acquisition Corp
1398,GNRSU,Greenrose Acquisition Corp
1399,GNRSW,Greenrose Acquisition Corp WT
1400,GNSS,Genasys Inc
1401,GNTX,Gentex Corp
1402,GNTY,Guaranty Bancshares Inc
1403,GNUS,Genius Brands International Inc
1404,GO,Grocery Outlet Holding Corp
1405,GOGL,Golden Ocean Gp
1406,GOGO,Gogo Inc
1407,GOOD,Gladstone Comml
1408,GOODM,Gladstone Commercial Corp
1409,GOODN,Gladstone Commercial Corp Prf Perpetual USD 25 S
1410,GOOG,Alphabet Cl C
1411,GOOGL,Alphabet Cl A
1412,GOSS,Gossamer Bio Inc
1413,GPAQ,Gordon Pointe Acquisition Corp Cl A
1414,GPAQU,Gordon Pointe Acquisition Corp Unit
1415,GPAQW,Gordon Pointe Acquisition Corp WT
1416,GPOR,Gulfport Energy Corp
1417,GPP,Green Plains Partners LP
1418,GPRE,Green Plains Inc
1419,GPRO,Gopro Inc Cl A
1420,GRBK,Green Brick Partners
1421,GRFS,Grifols S.A.
1422,GRID,Nasdaq Clean Edge Smart Grid Infr Index Fund FT
1423,GRIF,Griffin Industrial
1424,GRIL,Muscle Maker Inc
1425,GRIN,Grindrod Shipping Holdings Ltd
1426,GRMN,Garmin Ltd
1427,GRNQ,Greenpro Capital Corp
1428,GRNV,Greenvision Acquisition Corp
1429,GRNVR,Greenvision Acquisition Corp Rights
1430,GRNVU,Greenvision Acquisition Corp
1431,GRNVW,Greenvision Acquisition Corp WT
1432,GROW,U S Global Inv Inc
1433,GRPN,Groupon Cl A
1434,GRTS,Gritstone Oncology Inc
1435,GRTX,Galera Therapeutics Inc
1436,GRVY,Gravity Co. Ltd
1437,GRWG,Growgeneration Corp
1438,GSBC,Great Southern Bncp
1439,GSHD,Goosehead Insurance Inc Cl A
1440,GSIT,Gsi Technology Inc
1441,GSKY,Greensky Inc Cl A
1442,GSM,Ferroglobe Plc Os
1443,GSMG,Glory Star New Media Group Holdings Ltd.
1444,GSMGW,Glory Star New Media Group Holdings Ltd.
1445,GSUM,Gridsum Holding Inc
1446,GT,Goodyear Tire Rubber
1447,GTEC,Greenland Technologies Holding Corp.
1448,GTHX,G1 Therapeutics Inc
1449,GTIM,Good Times Rest
1450,GTLS,Chart Industries IN
1451,GTYH,Gty Technology Holdings Inc
1452,GULF,Wisdomtree Middle East Dividend Fund
1453,GURE,Gulf Resources Inc
1454,GVP,GSE Systems
1455,GWGH,Gwg Holdings
1456,GWPH,Gw Pharma ADR
1457,GWRS,Global Water Reso
1458,GXGX,Gx Acquisiton Corp Cl A
1459,GXGXU,Gx Acquisiton Corp Unit
1460,GXGXW,Gx Acquisiton Corp WT
1461,GXTG,Global X Thematic Growth ETF
1462,GYRO,Gyrodyne Llc
1463,HA,Hawaiian Hlds Inc
1464,HAFC,Hanmi Financial Cp
1465,HAIN,Hain Celestial Group
1466,HALL,Hallmark Fin Svc
1467,HALO,Halozyme Therapeutic
1468,HAPP,Happiness Biotech Group Ltd
1469,HARP,Harpoon Therapeutics Inc
1470,HAS,Hasbro Inc
1471,HAYN,Haynes Intl Inc
1472,HBAN,Huntington Bcshs
1473,HBANN,Huntington Bancshares Incorporated ADR
1474,HBANO,Huntington Banc. Dep
1475,HBCP,Home Bancorp Inc
1476,HBIO,Harvard Bioscience
1477,HBMD,Howard Bancorp MD
1478,HBNC,Horizon Bancorp
1479,HBP,Huttig Bldg Products
1480,HBT,Hbt Financial Inc
1481,HCAC,Hennessy Capital Acquisition Corp IV Cl A
1482,HCACU,Hennessy Capital Acquisition Corp IV Unit
1483,HCACW,Hennessy Capital Acquisition Corp IV WT
1484,HCAP,Harvest Capital Cred
1485,HCAPZ,Harvest Capital Credit Corp 6.125% Notes
1486,HCAT,Health Catalyst Inc
1487,HCCH,Hl Acquisitions Corp
1488,HCCHR,Hl Acquisitions Corp Right
1489,HCCHU,Hl Acquisitions Corp Unit
1490,HCCHW,Hl Acquisitions Corp WT
1491,HCCI,Heritage-Crystal
1492,HCCO,Healthcare Merger Corp. Cl A
1493,HCCOU,Healthcare Merger Corp. Units
1494,HCCOW,Healthcare Merger Corp. Warrants
1495,HCKT,Hackett Grp Inc
1496,HCM,Hutchison China Ads
1497,HCSG,Healthcare Svcs Gp
1498,HDS,HD Supply Hlds Cmm
1499,HDSN,Hudson Tech Inc
1500,HEAR,Turtle Beach Corp
1501,HEBT,Hebron Technology Co. Ltd
1502,HECCU,Hudson Executive Investment Corp. Units
1503,HEES,H&E Equip Services
1504,HELE,Helen of Troy Ltd
1505,HEPA,Hepion Pharmaceuticals Inc
1506,HERD,Pacer Cash Cows Fund of Funds ETF
1507,HERO,Global X Video Games & Esports ETF
1508,HEWG,Germany Curr Hedged Ishares MSCI ETF
1509,HFBL,Home Federal
1510,HFFG,HF Foods Group Inc
1511,HFWA,Heritage Financial
1512,HGSH,China Hgs Real Est
1513,HHR,Headhunter Group Plc ADR
1514,HHT,Huitao Technology Co. Ltd
1515,HIBB,Hibbett Sports Inc
1516,HIFS,Hingham Inst For Svg
1517,HIHO,Highway Hlds Ltd
1518,HIMX,Himax Technologies
1519,HJLI,Hancock Jaffe Laboratories Inc
1520,HJLIW,Hancock Jaffe Laboratories Inc WT
1521,HLAL,Wahed FTSE USA Shariah ETF
1522,HLG,Hailiang Edu Grp Ads
1523,HLIO,Helios Technologies Inc
1524,HLIT,Harmonic Inc
1525,HLNE,Hamilton Lane Incorporated Cl A
1526,HMHC,Houghton Mifflin Har
1527,HMNF,Hmn Financial Inc
1528,HMST,Homestreet Inc
1529,HMSY,Hms Hlds Cp
1530,HMTV,Hemisphere Media A
1531,HNDL,Strategy Shares Nasdaq 7Handl Index ETF
1532,HNNA,Hennessy Advisors
1533,HNRG,Hallador Energy Company
1534,HOFT,Hooker Furniture
1535,HOLI,Hollysys Automation
1536,HOLX,Hologic Inc
1537,HOMB,Home Bancshares Inc
1538,HONE,Harborone Bancorp Inc
1539,HOOK,Hookipa Pharma Inc
1540,HOPE,Hope Bancorp Inc
1541,HOTH,Hoth Therapeutics Inc
1542,HOVNP,Hovnanian Entr Dep A
1543,HQI,Hirequest Inc
1544,HQY,Healthequity
1545,HROW,Harrow Health Inc
1546,HRTX,Heron Therapeutics
1547,HRZN,Horizon Technology F
1548,HSDT,Helius Medical Technologies Inc
1549,HSIC,Henry Schein Inc
1550,HSII,Heidrick & Struggl
1551,HSKA,Heska Corp
1552,HSON,Hudson Global
1553,HSTM,Healthstream Inc
1554,HSTO,Histogen Inc.
1555,HTBI,Hometrust Bancshares
1556,HTBK,Heritage Commerce
1557,HTBX,Heat Biologics Inc
1558,HTGM,Htg Molecular Dia
1559,HTHT,Huazhu Group Ltd
1560,HTIA,Healthcare TR Inc
1561,HTLD,Heartland Express
1562,HTLF,Heartland Finl USA
1563,HUBG,Hub Group Inc A
1564,HUGE,Fsd Pharma Inc Cl B
1565,HUIZ,Huize Holding Limited ADR
1566,HURC,Hurco Cos Inc
1567,HURN,Huron Consulting
1568,HUSN,Hudson Capital Inc.
1569,HVBC,Hv Bancorp Inc
1570,HWBK,Hawthorn Bancshares
1571,HWC,Hancock Whitney Corp
1572,HWCC,Houston Wire Cable
1573,HWCPL,Hancock Whitney Corp 5.95 Nt
1574,HWKN,Hawkins Inc
1575,HX,Hexindai Inc
1576,HYAC,Haymaker Acquisition Corp II Cl A
1577,HYACU,Haymaker Acquisition Corp Unit
1578,HYACW,Haymaker Acquisition Corp II WT
1579,HYLS,Tactical High Yield ETF FT
1580,HYMC,Hycroft Mining Holding Corp.
1581,HYMCW,Hycroft Mining Holding Corp. Wts
1582,HYND,Wisdomtree Neg Duration HI Yld Bond Fund
1583,HYRE,Hyrecar Inc
1584,HYXE,High Yield Ex Oil and Gas Corp Bond Ishares Ibox
1585,HYZD,Wisdomtree Int Rate HI Yld Bond Hedged Fund
1586,HZNP,Horizon Therapeutics
1587,IAC,Iac Interactive
1588,IART,Integra Lifesciences
1589,IBB,Nasdaq Biotechnology Ishares ETF
1590,IBCP,Independent Bk Cp
1591,IBKC,Iberiabank Corp
1592,IBKCN,Iberiabank Corp Dep Shs Repstg
1593,IBKCO,Iberiabank Ds Rep C
1594,IBKCP,Iberiabank Dp Sh B
1595,IBKR,Interactive Brokers
1596,IBOC,Intl Bancshares
1597,IBTA,Ishares Ibonds Dec 2021 Term Treasury ETF
1598,IBTB,Ishares Ibonds Dec 2022 Term Treasury ETF
1599,IBTD,Ishares Ibonds Dec 2023 Term Treasury ETF
1600,IBTE,Ishares Ibonds Dec 2024 Term Treasury ETF
1601,IBTF,Ishares Ibonds Dec 2025 Term Treasury ETF
1602,IBTG,Ishares Ibonds Dec 2026 Term Treasury ETF
1603,IBTH,Ishares Ibonds Dec 2027 Term Treasury ETF
1604,IBTI,Ishares Ibonds Dec 2028 Term Treasury ETF
1605,IBTJ,Ishares Ibonds Dec 2029 Term Treasury ETF
1606,IBTX,Independent Bank Group
1607,IBUY,Online Retail Amplify ETF
1608,ICAD,Icad Inc
1609,ICBK,County Bancorp
1610,ICCC,Immucell Cp
1611,ICCH,Icc Holdings Inc
1612,ICFI,Icf International
1613,ICHR,Ichor Holdings Ltd
1614,ICLK,Iclick Interactive Asia Group Ltd ADR
1615,ICLN,Global Clean Energy Ishares ETF
1616,ICLR,Icon Plc
1617,ICMB,Investcorp Credit Management Bdc Inc
1618,ICON,Iconix Brand Group
1619,ICPT,Intercept Pharmaceuticals
1620,ICUI,I C U Medical Inc
1621,IDCC,Interdigital Inc
1622,IDEX,Ideanomics Inc
1623,IDLB,FTSE Intl Low Beta EW Invesco ETF
1624,IDN,Intellicheck Mobilisia
1625,IDRA,Idera Pharmaceuticals
1626,IDXG,Interpace Diag Group
1627,IDXX,Idexx Laboratories
1628,IDYA,Ideaya Biosciences Inc
1629,IEA,Infrastructure and Energy Alternatives Inc
1630,IEAWW,Infrastructure and Energy Alternatives Inc WT
1631,IEC,IEC Electronics
1632,IEF,7-10 Year Treas Bond Ishares ETF
1633,IEI,3-7 Year Treas Bond Ishares ETF
1634,IEP,Icahn Enterprises
1635,IESC,Ies Holdings
1636,IEUS,Europe Small-Cap Ishares MSCI ETF
1637,IFEU,Europe Developed Real Estate Ishares ETF
1638,IFGL,Intl Developed Real Estate Ishares ETF
1639,IFMK,Ifresh Inc
1640,IFRX,Fireman B.V.
1641,IFV,Dorsey Wright Intl Focus 5 ETF FT
1642,IGF,Global Infrastructure Ishares ETF
1643,IGIB,Intermediate-Term Corp Bond Ishares ETF
1644,IGIC,International General Insurance Hldg Inc.
1645,IGICW,International General Insurance Hldg Inc.
1646,IGMS,Igm Biosciences Inc
1647,IGOV,Intl Treasury Bond Ishares ETF
1648,IGSB,Short-Term Corp Bond Ishares ETF
1649,IHRT,Iheartmedia Inc
1650,III,Information Svcs Group
1651,IIIN,Insteel Industries
1652,IIIV,I3 Verticals Inc Cl A
1653,IIN,Intricon Corp
1654,IIVI,I I V I Inc
1655,IJT,S&P Small-Cap 600 Growth Ishares ETF
1656,IKNX,Ikonics Corp
1657,ILMN,Illumina Inc
1658,ILPT,Industrial Logistics Properties Trust
1659,IMAB,I-Mab American Depositary Shares
1660,IMAC,Imac Holdings Inc
1661,IMACW,Imac Holdings Inc WT
1662,IMBI,Imedia Brands Inc
1663,IMGN,Immunogen Inc
1664,IMKTA,Ingles Markets Inc
1665,IMMP,Immutep Ltd ADR
1666,IMMR,Immersion Corp
1667,IMMU,Immunomedics Inc
1668,IMOS,Chipmos Tech
1669,IMRA,Imara Inc
1670,IMRN,Immuron Ltd
1671,IMRNW,Immuron Ltd WT
1672,IMTE,Integrated Media Technology
1673,IMUX,Immunic Inc
1674,IMV,Imv Inc
1675,IMVT,Immunovant Inc.
1676,IMVTU,Immunovant Inc Units
1677,IMVTW,Immunovant Inc. Wt. Exp. 12/18/24
1678,IMXI,International Money Express Inc
1679,INBK,First Internet Bcp
1680,INBKL,First Internet Bancorp
1681,INBKZ,First Internet Bancorp 6.0% Fixed-To-Floating Ra
1682,INCY,Incyte Corp
1683,INDB,Independent Bk Corp
1684,INDY,India 50 Ishares ETF
1685,INFI,Infinity Pharmaceuti
1686,INFN,Infinera Corp
1687,INFR,Legg Global Infrastructure ETF
1688,INGN,Inogen Inc
1689,INMB,Inmune Bio Inc
1690,INMD,Inmode Ltd
1691,INO,Inovio Pharma
1692,INOD,Innodata Inc
1693,INOV,Inovalon Hlds Cm A
1694,INPX,Inpixon
1695,INSE,Inspired Entertainment Inc
1696,INSG,Inseego Corp
1697,INSM,Insmed Inc
1698,INSU,Insurance Acquisition Corp Cl A
1699,INSUU,Insurance Acquisition Corp Unit
1700,INSUW,Insurance Acquisition Corp WT
1701,INTC,Intel Corp
1702,INTG,Intergroup Cp The
1703,INTL,Intl Fcstone Inc
1704,INTU,Intuit Inc
1705,INVA,Innoviva Inc
1706,INVE,Identiv Inc
1707,INWK,Innerworkings Inc
1708,IONS,Ionis Pharmaceuticals
1709,IOSP,Innospec Inc
1710,IOTS,Adesto Tech
1711,IOVA,Iovance Biotherapeutics Inc
1712,IPAR,Inter Parfums Inc
1713,IPGP,Ipg Photonics Corp
1714,IPHA,Innate Pharma S.A. Ads
1715,IPKW,Intl Buyback Achievers Invesco ETF
1716,IPLDP,Interstate Power & Light Company Perp Prd Se
1717,IPWR,Ideal Power Inc
1718,IQ,Iqiyi Inc ADR
1719,IRBT,Irobot Corp
1720,IRCP,Irsa Propiedades Ads
1721,IRDM,Iridium Comm Inc
1722,IRIX,Iridex Cp
1723,IRMD,Iradimed Cp
1724,IROQ,If Bancorp Inc
1725,IRTC,Irhythm Technologies Inc
1726,IRWD,Ironwood Pharmaceuti
1727,ISBC,Investors Bancorp
1728,ISDS,Invesco Developed Ex-US Small Company ETF
1729,ISDX,Invesco Developed Ex-US ETF
1730,ISEE,Iveric Bio Inc
1731,ISEM,Invesco Emerging Markets ETF
1732,ISHG,1-3 Year Intl Treas Bond Ishares ETF
1733,ISIG,Insignia Systems
1734,ISNS,Image Sensing Syst
1735,ISRG,Intuitive Surg Inc
1736,ISSC,Innovative Sol&Sup
1737,ISTB,1-5 Year USD Bond Ishares Core ETF
1738,ISTR,Investar Holding
1739,ITCI,Intra-Cellular Ther
1740,ITI,Iteris Inc
1741,ITIC,Investors Title Company
1742,ITMR,Itamar Medical Ltd ADR
1743,ITRI,Itron Inc
1744,ITRM,Iterum Therapeutics Plc
1745,ITRN,Ituran Location
1746,IUS,Invesco Strategic US ETF
1747,IUSB,USD Bond Market Total Ishares Core ETF
1748,IUSG,S&P US Growth Ishares Core ETF
1749,IUSS,Invesco US Small Company ETF
1750,IUSV,S&P US Value Ishares Core ETF
1751,IVAC,Intevac Inc
1752,IXUS,Total Intl Stock Ishares Core MSCI ETF
1753,IZEA,Izea Inc
1754,JACK,Jack IN The Box Inc
1755,JAGX,Jaguar Health Inc
1756,JAKK,Jakks Pacific Inc
1757,JAN,Janone Inc
1758,JAZZ,Jazz Pharma Plc
1759,JBHT,J B Hunt Transport
1760,JBLU,Jetblue Airways Cp
1761,JBSS,John B Sanfilippo
1762,JCOM,J2 Global Inc
1763,JCS,Commun Systems Inc
1764,JCTCF,Jewett-Cameron Trd
1765,JD,Jd.com Inc Ads
1766,JFIN,Jiayin Group Inc ADR
1767,JFK,8I Enterprises Acquisition Corp
1768,JFKKR,8I Enterprises Acquisition Corp Right
1769,JFKKU,8I Enterprises Acquisition Corp Unit
1770,JFKKW,8I Enterprises Acquisition Corp WT
1771,JFU,9F Inc ADR
1772,JG,Aurora Mobile Ltd ADR
1773,JJSF,J J Snack Foods
1774,JKHY,Jack Henry & Assoc
1775,JKI,Mstar Mid-Cap Value Ishares ETF
1776,JMPNL,JMP Group Llc 7.25% Senior Notes Due 2027
1777,JMPNZ,JMP Group Llc 6.875% Senior Notes Due 2029
1778,JNCE,Jounce Therapeutics Inc
1779,JOBS,51Job Inc
1780,JOUT,Johnson Outdoors
1781,JRJC,China Finance Online
1782,JRSH,Jerash Holdings Inc
1783,JRVR,James River Gp HD
1784,JSM,SLM Cp 6% Sr Nt
1785,JSMD,Janus Small/Midcap Growth ETF
1786,JSML,Janus Smallcap Growth ETF
1787,JVA,Coffee Holding Company
1788,JYNT,The Joint Corp
1789,KALA,Kala Pharmaceuticals Inc
1790,KALU,Kaiser Aluminum
1791,KALV,Kalvista Pharmaceuticals Inc
1792,KBAL,Kimball Intl Cl B
1793,KBLM,Kbl Merger Corp IV
1794,KBLMR,Kbl Merger Corp IV Right
1795,KBLMW,Kbl Merger Corp IV WT
1796,KBSF,Kbs Fashion Gp Ltd
1797,KBWB,KBW Bank Invesco ETF
1798,KBWD,KBW High Dividend Yield Financial Invesco ETF
1799,KBWP,KBW Property & Casualty Insurance Invesco ETF
1800,KBWR,KBW Regional Banking Invesco ETF
1801,KBWY,KBW Premium Yield Equity REIT Invesco ETF
1802,KC,Kingsoft Cloud Holdings Limited American Deposit
1803,KCAPL,Kcap Financial Inc 6.125% Notes Due 2022
1804,KE,Kimball Electrnc
1805,KELYA,Kelly Svcs Cl A
1806,KELYB,Kelly Services Inc Cl B
1807,KEQU,Kewaunee Scientifi
1808,KERN,Akerna Corp Cl A
1809,KERNW,Akerna Corp WT
1810,KFFB,Kentucky First Fed
1811,KFRC,Kforce Inc
1812,KGJI,Kingold Jewelry Inc
1813,KHC,Kraft Heinz Company
1814,KIDS,Orthopediatrics Corp
1815,KIN,Kindred Biosciences
1816,KINS,Kingstone Cos Inc
1817,KIRK,Kirkland's Inc
1818,KLAC,K L A-Tencor Corp
1819,KLDO,Kaleido Biosciences Inc
1820,KLIC,Kulicke and Soffa
1821,KLXE,Klx Energy Services Holdings Inc
1822,KMDA,Kamada Ltd
1823,KMPH,Kempharm Inc
1824,KNDI,Kandi Techs Group
1825,KNSA,Kiniksa Pharmaceuticals Ltd
1826,KNSL,Kinsale Capital Group Inc
1827,KOD,Kodiak Sciences Inc
1828,KOPN,Kopin Cp
1829,KOSS,Koss Cp
1830,KPTI,Karyopharm Therapeut
1831,KRKR,36Kr Holdings Inc ADR
1832,KRMA,G-X Conscious Companies ETF
1833,KRMD,Repro Med Sys Inc
1834,KRNT,Kornit Digital Ord
1835,KRNY,Kearny Financial
1836,KROS,Keros Therapeutics Inc
1837,KRTX,Karuna Therapeutics Inc
1838,KRUS,Kura Sushi USA Inc Cl A
1839,KRYS,Krystal Biotech Inc
1840,KTCC,Key Tronic Cp
1841,KTOS,Kratos Defns
1842,KTOV,Kitov Pharamceut Ads
1843,KTOVW,Kitov Pharamceuti WT
1844,KURA,Kura Oncology
1845,KVHI,K V H Inds Inc
1846,KXIN,Kaixin Auto Holdings
1847,KZIA,Kazia Therapeutics Ltd
1848,KZR,Kezar Life Sciences Inc
1849,LACQ,Leisure Acquisition Corp
1850,LACQU,Leisure Acquisition Corp Unit
1851,LACQW,Leisure Acquisition Corp WT
1852,LAKE,Lakeland Inds Inc
1853,LAMR,Lamar Advertis A
1854,LANC,Lancaster Colony Cor
1855,LAND,Gladstone Land Corp
1856,LANDP,Gladstone Land Corp
1857,LARK,Landmark Bancorp Inc
1858,LASR,Nlight Inc
1859,LATN,Union Acquisition Corp. II
1860,LATNU,Union Acquisition Corp II Units
1861,LATNW,Union Acquisition Corp. II WT
1862,LAUR,Laureate Education Inc
1863,LAWS,Lawson Products IN
1864,LAZY,Lazydays Holdings Inc
1865,LBAI,Lakeland Bancorp Inc
1866,LBC,Luther Burbank Corp
1867,LBRDA,Liberty Broadbd A
1868,LBRDK,Liberty Broadbd C
1869,LBTYA,Liberty Global Ord A
1870,LBTYB,Liberty Global Ord B
1871,LBTYK,Liberty Global Ord C
1872,LCA,Landcadia Holdings II Inc Cl A
1873,LCAHU,Landcadia Holdings II Inc Unit
1874,LCAHW,Landcadia Holdings II Inc WT
1875,LCNB,Lcnb Corp
1876,LCUT,Lifetime Brands Inc
1877,LDEM,Ishares ESG MSCI EM Leaders ETF
1878,LDSF,FT Low Duration Strategic Focus ETF
1879,LE,Lands' End Inc
1880,LECO,Lincoln Elec Hld
1881,LEDS,Semileds Corp
1882,LEGH,Legacy Housing Corp
1883,LEGN,Legend Biotech Corporation American Depositary S
1884,LEGR,First Trust Indxx Innovative Transaction & Proce
1885,LEVL,Level One Bancorp Inc
1886,LFAC,Lf Capital Acquistion Corp Cl A
1887,LFACU,Lf Capital Acquistion Corp Unit
1888,LFACW,Lf Capital Acquistion Corp WT
1889,LFUS,Littelfuse Inc
1890,LFVN,Lifevantage Cp
1891,LGIH,LGI Homes Inc
1892,LGND,Ligand Pharm
1893,LHCG,LHC Group Inc
1894,LIFE,Atyr Pharma Inc
1895,LILA,Liberty Latin America Cl A
1896,LILAK,Liberty Latin America Cl C
1897,LINC,Lincoln Educational
1898,LIND,Lindblad Expd Hld
1899,LIQT,Liqtech International Inc
1900,LITE,Lumentum Hld
1901,LIVE,Live Ventures
1902,LIVKU,Liv Capital Acquisition Corp
1903,LIVKW,Liv Capital Acquisition Corp. WT
1904,LIVN,Livanova Plc OR Sh
1905,LIVX,Livexlive Media Inc
1906,LIZI,Lizhi Inc American Depositary Shares
1907,LJPC,LA Jolla Pharma
1908,LK,Luckin Coffee Inc ADR
1909,LKCO,Luokung Technology Corp
1910,LKFN,Lakeland Finl Corp
1911,LKQ,LKQ Corp
1912,LLIT,Lianluo Smart Ltd
1913,LLNW,Limelight Networks
1914,LMAT,Lemaitre Vascular
1915,LMB,Limbach Holdings Inc
1916,LMBS,Low Duration Opportunities ETF FT
1917,LMFA,Lm Funding America Inc
1918,LMFAW,Lm Funding WT
1919,LMNL,Liminal Biosciences Inc.
1920,LMNR,Limoneira Company
1921,LMNX,Luminex Corp
1922,LMPX,Lmp Automotive Holdings Inc
1923,LMRK,Landmark Common Units
1924,LMRKN,Landmark Infrastructure Partners LP
1925,LMRKO,Landmark Infrastructure Partners LP
1926,LMRKP,Landmark Inf Prf
1927,LMST,Limestone Bancorp Inc
1928,LNDC,Landec Cp
1929,LNGR,G-X Longevity Thematic Et
1930,LNT,Alliant Energy Corp
1931,LNTH,Lantheus Holdings
1932,LOAC,Longevity Acquisition Corp
1933,LOACR,Longevity Acquisition Corp Right
1934,LOACU,Longevity Acquisition Corp Units
1935,LOACW,Longevity Acquisition Corp WT
1936,LOAN,Manhattan Bridge
1937,LOB,Live Oak Bancsh
1938,LOCO,El Pollo Loco
1939,LOGC,Logicbio Therapeutics Inc
1940,LOGI,Logitech Int S.A.
1941,LOGM,Logmein Inc
1942,LONE,Lonestar Resources US Inc
1943,LOOP,Loop Industries Inc
1944,LOPE,Grand Canyon Educati
1945,LORL,Loral Space Comm
1946,LOVE,The Lovesac Company
1947,LPCN,Lipocine Inc
1948,LPLA,Lpl Financial Hld
1949,LPSN,Liveperson Inc
1950,LPTH,Lightpath Tech Inc
1951,LPTX,Leap Therapeutics Inc
1952,LQDA,Liquidia Technologies Inc
1953,LQDT,Liquidity Services
1954,LRCX,Lam Research Corp
1955,LRGE,Legg Clearbridge Large Cap Groowth ETF
1956,LRMR,Larimar Therapeutics Inc.
1957,LSAC,Lifesci Acquisition Corp
1958,LSACU,Lifesci Acquisition Corp. Unit 1 Com & 1 WT
1959,LSACW,Lifesci Acquisition Corp. WT
1960,LSBK,Lake Shore Bancorp
1961,LSCC,Lattice Semicond
1962,LSTR,Landstar System
1963,LSXMA,Liberty Srs XM CS A
1964,LSXMB,Liberty Srs XM CS B
1965,LSXMK,Liberty Srs XM CS C
1966,LSXMR,Liberty Media Corporation Right
1967,LTBR,Lightbridge Corp
1968,LTRPA,Liberty Tripadv A
1969,LTRPB,Liberty Tripadv B
1970,LTRX,Lantronix Inc
1971,LULU,Lululemon Athletica
1972,LUMO,Lumos Pharma Inc.
1973,LUNA,Luna Innovations Inc
1974,LVGO,Livongo Health Inc
1975,LVHD,Legg Low Vol HI Div ETF
1976,LWAY,Lifeway Foods Inc
1977,LX,Lexinfintech Holdings Ltd
1978,LXRX,Lexicon Pharmaceutcl
1979,LYFT,Lyft Inc Cl A
1980,LYL,Dragon Victory Intl Ltd
1981,LYRA,Lyra Therapeutics Inc
1982,LYTS,L S I Industries
1983,MACK,Merrimack Pharmaceuticals Inc
1984,MAGS,Magal Security Syst
1985,MANH,Manhattan Assoc
1986,MANT,Mantech Intl Cp A
1987,MAR,Marriot Int Cl A
1988,MARA,Marathon Patent Grou
1989,MARK,Remark Holdings Inc
1990,MARPS,Marine Petroleum U
1991,MASI,Masimo Corp
1992,MAT,Mattel Inc
1993,MATW,Matthews Intl Corp
1994,MAYS,J W Mays Inc
1995,MBB,MBS Ishares ETF
1996,MBCN,Middlefield Banc
1997,MBII,Marrone Bio Innov
1998,MBIN,Merchants Bancorp
1999,MBINO,Merchants Bancorp Depositary Shares Each Represe
2000,MBINP,Merchants Bancorp [Indiana] Perp Pfd Ser A
2001,MBIO,Mustang Bio Inc
2002,MBNKP,Medallion Bank Fixed-To-Floating Rate Non-Cumula
2003,MBOT,Microbot Medical Inc
2004,MBRX,Moleculin Biotech CS
2005,MBSD,Flexshares Disciplined Duration MBS Index Fund
2006,MBUU,Malibu Boats Inc
2007,MBWM,Mercantile Bank Corp
2008,MCACU,Mountain Crest Acquisition Corp
2009,MCBC,Macatawa Bank Corp
2010,MCBS,Metrocity Bankshares Inc
2011,MCEF,Municipal CEF Income Opportunity ETF FT
2012,MCEP,Mid-Con Energy Partn
2013,MCFT,Mcbc Holdings
2014,MCHI,China Ishares MSCI ETF
2015,MCHP,Microchip Technology
2016,MCHX,Marchex Inc
2017,MCMJ,Merida Merger Corp. I
2018,MCMJW,Merida Merger Corp I WT
2019,MCRB,Seres Theraptc
2020,MCRI,Monarch Casino
2021,MDB,Mongodb Inc Cl A
2022,MDCA,Mdc Partners Cl A
2023,MDGL,Madrigal Pharmaceuticals Inc
2024,MDGS,Medigus Ltd Ads
2025,MDGSW,Medigus Ltd Series C WT
2026,MDIA,Mediaco Holding Inc Class A Common Stock When Is
2027,MDIV,Multi-Asset Diversified Income Index Fund FT
2028,MDJH,Mdjm Ltd
2029,MDLZ,Mondelez Intl Inc
2030,MDRR,Medalist Diversified REIT Inc
2031,MDRRP,Medalist Diversified REIT Inc Series A
2032,MDRX,Allscripts Hlthcare
2033,MDWD,Mediwound Ltd Ord Sh
2034,MEDP,Medpace Holdings Inc
2035,MEDS,Trxade Group Inc
2036,MEET,The Meet Group
2037,MEIP,Mei Pharma Inc
2038,MELI,Mercadolibre Inc
2039,MEOH,Methanex Cp
2040,MERC,Mercer Intl Inc
2041,MESA,Mesa Air Group Inc
2042,MESO,Mesoblast Ltd Ads
2043,METC,Ramaco Resources Inc
2044,METX,Meten Edtechx Education Group Ltd.
2045,METXW,Meten Edtechx Education Group Ltd
2046,MFH,Mercurity Fintech Holding Inc.
2047,MFIN,Medallion Fin Cp
2048,MFINL,Medallion Fin Notes
2049,MFNC,Mackinac Financial
2050,MGEE,Mge Energy Inc
2051,MGEN,Miragen Therapeutics Inc
2052,MGI,Moneygram Intl
2053,MGIC,Magic Software Entpr
2054,MGLN,Magellan Health
2055,MGNX,Macrogenics
2056,MGPI,MGP Ingredients Inc
2057,MGRC,Mcgrath Rentcorp
2058,MGTA,Magenta Therapeutics Inc
2059,MGTX,Meiragtx Holdings Plc
2060,MGYR,Magyar Bancorp Inc
2061,MHLD,Maiden Holdings Ltd
2062,MICT,Micronet Enertec Tec
2063,MIDD,Middleby Corp
2064,MIK,The Michaels Comp
2065,MILN,G-X Millennials Thematic ETF
2066,MIME,Mimecast Ltd Ord
2067,MIND,Mitcham Industries Inc
2068,MINDP,Mitcham Industries Inc
